ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents,parents2,TOTAL_FLIGHTS
958,PHX,AA,28009,7.222678424792031,Airports,Airlines,636554
959,PHX,AS,2269,-0.9678272366681356,Airports,Airlines,157025
960,PHX,B6,653,17.690658499234303,Airports,Airlines,240304
961,PHX,DL,6883,4.3158506465204125,Airports,Airlines,794817
962,PHX,EV,8,3.375,Airports,Airlines,509621
963,PHX,F9,1851,15.17233927606699,Airports,Airlines,82005
964,PHX,HA,333,0.3693693693693693,Airports,Airlines,69815
965,PHX,NK,938,14.756929637526651,Airports,Airlines,105059
966,PHX,OO,18281,5.355943329139544,Airports,Airlines,530182
967,PHX,UA,5411,9.844760672703751,Airports,Airlines,462086
968,PHX,US,27564,6.166630387461907,Airports,Airlines,194223
969,PHX,WN,53352,12.211875843454791,Airports,Airlines,1138350
970,PIA,EV,2455,8.953971486761711,Airports,Airlines,509621
971,PIA,MQ,1747,5.958786491127648,Airports,Airlines,257130
972,PIA,OO,288,10.822916666666666,Airports,Airlines,530182
973,PIB,EV,563,7.673179396092363,Airports,Airlines,509621
974,PIH,OO,652,-1.3282208588957056,Airports,Airlines,530182
975,PIT,AA,3270,4.059021406727829,Airports,Airlines,636554
976,PIT,B6,1467,4.276073619631902,Airports,Airlines,240304
977,PIT,DL,3474,6.965745538284399,Airports,Airlines,794817
978,PIT,EV,1305,8.460536398467433,Airports,Airlines,509621
979,PIT,MQ,567,13.068783068783068,Airports,Airlines,257130
980,PIT,OO,465,10.23010752688172,Airports,Airlines,530182
981,PIT,UA,2236,9.347495527728086,Airports,Airlines,462086
982,PIT,US,2312,3.241349480968858,Airports,Airlines,194223
983,PIT,WN,8573,6.825032077452467,Airports,Airlines,1138350
984,PLN,OO,730,10.424657534246576,Airports,Airlines,530182
985,PNS,AA,305,20.911475409836065,Airports,Airlines,636554
986,PNS,DL,2250,5.229777777777778,Airports,Airlines,794817
987,PNS,EV,1769,6.193894855850763,Airports,Airlines,509621
988,PNS,MQ,1128,8.273936170212766,Airports,Airlines,257130
989,PNS,WN,951,10.032597266035753,Airports,Airlines,1138350
990,PPG,HA,106,15.179245283018869,Airports,Airlines,69815
