ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT,AVERAGE_DEPARTURE_DELAY,parents_origin
507,HDN,AA,132,6.0227272727272725,Airports
508,HDN,DL,95,12.589473684210526,Airports
509,HDN,EV,72,5.444444444444445,Airports
510,HDN,OO,236,13.741525423728813,Airports
511,HDN,UA,151,14.324503311258278,Airports
512,HIB,OO,878,1.2927107061503418,Airports
513,HLN,OO,1419,0.7829457364341085,Airports
514,HNL,AA,2379,12.730138713745271,Airports
515,HNL,AS,2342,2.783945345858241,Airports
516,HNL,DL,2750,8.078545454545454,Airports
517,HNL,HA,30130,-0.15894457351476934,Airports
518,HNL,UA,4869,11.450605873896077,Airports
519,HNL,US,417,4.808153477218226,Airports
520,HNL,VX,59,12.35593220338983,Airports
521,HOB,EV,547,5.3528336380255945,Airports
522,HOU,AA,160,4.50625,Airports
523,HOU,B6,654,18.665137614678898,Airports
524,HOU,DL,1692,6.4763593380614655,Airports
525,HOU,EV,598,16.118729096989966,Airports
526,HOU,MQ,1170,12.0,Airports
527,HOU,WN,46858,12.166545733919502,Airports
528,HPN,B6,3519,10.760443307757885,Airports
529,HPN,EV,2727,13.840484048404841,Airports
530,HPN,MQ,886,12.520316027088036,Airports
531,HRL,EV,1141,1.5705521472392638,Airports
532,HRL,OO,32,-0.09375,Airports
533,HRL,WN,1848,4.2727272727272725,Airports
534,HSV,DL,1757,5.575412635173591,Airports
535,HSV,EV,2022,7.629080118694362,Airports
536,HSV,MQ,644,12.96583850931677,Airports
537,HYA,B6,82,23.182926829268293,Airports
538,HYS,OO,557,2.5960502692998206,Airports
539,IAD,AA,2451,11.683802529579763,Airports
540,IAD,AS,264,3.9356060606060606,Airports
541,IAD,B6,1828,8.644967177242888,Airports
542,IAD,DL,2351,7.697575499787325,Airports
543,IAD,EV,3169,13.283685705269802,Airports
544,IAD,F9,1920,15.1515625,Airports
545,IAD,OO,238,8.53781512605042,Airports
546,IAD,UA,17809,14.695378741085968,Airports
547,IAD,VX,1480,5.77027027027027,Airports
548,IAD,WN,2154,8.486072423398328,Airports
549,IAG,NK,312,5.403846153846154,Airports
550,IAH,AA,6376,7.129548306148055,Airports
551,IAH,AS,379,2.699208443271768,Airports
552,IAH,DL,2913,9.477171301064194,Airports
553,IAH,EV,57074,4.886252934786418,Airports
554,IAH,F9,1520,17.163815789473684,Airports
555,IAH,MQ,25,9.24,Airports
556,IAH,NK,4997,23.19231538923354,Airports
557,IAH,OO,15067,12.766376850069689,Airports
558,IAH,UA,53239,17.947576025094385,Airports
559,IAH,US,2429,4.491972004940305,Airports
560,ICT,AA,164,11.481707317073171,Airports
561,ICT,DL,853,6.150058616647128,Airports
562,ICT,EV,2076,7.134874759152216,Airports
563,ICT,MQ,378,14.529100529100528,Airports
564,ICT,OO,2434,13.190221857025472,Airports
565,ICT,UA,456,13.43859649122807,Airports
566,ICT,WN,1516,7.178100263852243,Airports
567,IDA,F9,2,4.5,Airports
568,IDA,OO,2223,0.6824111560953666,Airports
569,ILG,F9,95,29.568421052631578,Airports
570,ILM,AA,160,-0.2,Airports
571,ILM,DL,346,6.523121387283237,Airports
572,ILM,EV,1316,6.691489361702128,Airports
573,ILM,OO,15,-0.06666666666666667,Airports
574,ILM,US,1,5.0,Airports
575,IMT,OO,606,0.7128712871287128,Airports
